"","x"
"1",0.21
"2",0.03
"3",0.05
"4",0.11
"5",0.59
"6",0.06
"7",0.18
"8",0.55
"9",0.37
"10",0.09
"11",0.14
"12",0.19
"13",0.02
"14",0.14
"15",0.09
"16",0.05
"17",0.15
"18",0.23
"19",0.15
"20",0.08
"21",0.24
"22",0.16
"23",0.06
"24",0.11
"25",0.15
"26",0.09
"27",0.03
"28",0.21
"29",0.02
"30",0.14
"31",0.24
"32",0.29
"33",0.16
"34",0.07
"35",0.07
"36",0.04
"37",0.02
"38",0.15
"39",0.12
"40",0.26
"41",0.15
"42",0.33
"43",0.06
"44",0.51
"45",0.11
"46",0.28
"47",0.36
"48",0.14
"49",0.55
"50",0.28
"51",0.04
"52",0.01
"53",0.94
"54",0.73
"55",0.05
"56",0.07
"57",0.11
"58",0.38
"59",0.21
"60",0.49
"61",0.38
"62",0.38
"63",0.01
"64",0.06
"65",0.13
"66",0.06
"67",0.01
"68",0.16
"69",0.05
"70",0.1
"71",0.16
"72",0.06
"73",0.06
"74",0.06
"75",0.06
"76",0.11
"77",0.44
"78",0.05
"79",0.09
"80",0.04
"81",0.27
"82",0.5
"83",0.25
"84",0.25
"85",0.08
"86",0.01
"87",0.7
"88",0.04
"89",0.08
"90",0.16
"91",0.38
"92",0.08
"93",0.32
"94",0.39
"95",0.58
"96",0.56
"97",0.74
"98",0.15
"99",0.07
"100",0.26
"101",0.25
"102",0.01
"103",0.17
"104",0.64
"105",0.61
"106",0.15
"107",0.26
"108",0.03
"109",0.05
"110",0.34
"111",0.07
"112",0.1
"113",0.09
"114",0.02
"115",0.3
"116",0.07
"117",0.12
"118",0.01
"119",0.16
"120",0.14
"121",0.49
"122",0.07
"123",0.11
"124",0.35
"125",1.21
"126",0.17
"127",0.01
"128",0.35
"129",0.45
"130",0.07
"131",0.93
"132",0.04
"133",0.96
"134",0.14
"135",1.38
"136",0.15
"137",0.01
"138",0.05
"139",0.23
"140",0.31
"141",0.05
"142",0.05
"143",0.29
"144",0.01
"145",0.74
"146",0.3
"147",0.09
"148",0.02
"149",0.19
"150",0.47
"151",0.01
"152",0.51
